channel_id,name,url,http_status,shopify,cafe24,platform_detected,note
7,+81,https://www.plus81.id,200,True,False,shopify,
73,032c,https://www.032c.com,200,True,False,shopify,
55,082plus,https://www.082plus.com,200,True,False,shopify,
94,11747391,https://www.11747391.net,200,True,False,shopify,
9,8DIVISION,https://www.8division.com,200,False,True,cafe24,
6,ADDICTED,https://www.addictedseoul.com,200,True,False,shopify,
129,AFB,https://www.afb-afb-afb.com,200,True,False,shopify,
5,empty,https://www.empty.seoul.kr,200,False,True,cafe24,
42,grds,https://www.grds.com,200,False,True,cafe24,
112,NOCLAIM,https://www.noclaim.co.kr,200,False,True,cafe24,
25,obscura,https://www.obscura-store.com,200,False,True,cafe24,
77,PARLOUR,https://www.parlour.kr,200,False,True,cafe24,
31,SCULP STORE,https://www.sculpstore.com,200,False,True,cafe24,
66,Unipair,https://www.unipair.com,200,False,True,cafe24,
122,18 East,https://www.18east.co,200,False,False,,custom platform suspected
79,A.A. Spectrum,https://www.aaspectrumstore.com,200,False,False,,custom platform suspected
24,a.dresser,https://www.adressershop.com,200,False,False,,custom platform suspected
50,about:blank,https://www.about---blank.com,429,False,False,,custom platform suspected
13,ACRMTSM,https://www.acrmtsm.jp,200,False,False,,custom platform suspected
67,ADEKUVER,https://www.adekuver.com,200,False,False,,custom platform suspected
1,Alfred,https://www.thegreatalfred.com,200,False,False,,custom platform suspected
8,ALIVEFORM,https://www.aliveform.bio,200,False,False,,custom platform suspected
145,ANACHRONORM,https://www.anachronorm.jp,200,False,False,,custom platform suspected
39,and wander,https://www.andwander.co.kr,200,False,False,,custom platform suspected
148,ANNMS Shop,https://www.annmsshop.com,429,False,False,,custom platform suspected
128,APPLIXY,https://www.applixy.com,200,False,False,,custom platform suspected
135,ARKnets,https://www.arknets.co.jp,200,False,False,,custom platform suspected
136,Attic,https://www.attic-sendai.com,429,False,False,,custom platform suspected
44,AXEL ARIGATO,https://www.axelarigato.com,200,False,False,,custom platform suspected
123,baloriginal,https://global.baloriginal.com,429,False,False,,custom platform suspected
151,BAYCREW'S,https://www.baycrews.jp,403,False,False,,custom platform suspected
32,BIZZARE,https://www.bizzare.co.kr,200,False,False,,custom platform suspected
70,BlackEyePatch,https://www.blackeyepatch.com,429,False,False,,custom platform suspected
130,Blue Monte,https://www.bluemonte.store,429,False,False,,custom platform suspected
159,Bodega,https://bdgastore.com,429,False,False,,custom platform suspected
99,Borderline,https://www.borderlineofficial.com,429,False,False,,custom platform suspected
11,BoTT,https://www.birthoftheteenager.com,429,False,False,,custom platform suspected
69,Brother Brother,https://www.brotherbrother.us,429,False,False,,custom platform suspected
74,browniegift,https://www.brownieonline.jp,400,False,False,,custom platform suspected
153,Camperlab,https://www.camperlab.com,200,False,False,,custom platform suspected
121,Casestudy,https://www.casestudystore.co.kr,200,False,False,,custom platform suspected
30,CAYL,https://www.cayl.co.kr,200,False,False,,custom platform suspected
41,CHERRY LA,https://www.cherryla.com,429,False,False,,custom platform suspected
60,CIOTA,https://shop.ciota.jp,429,False,False,,custom platform suspected
37,CLESSTE,https://www.clesste.com,,False,False,,"[Errno 8] nodename nor servname provided, or not known"
102,cocorozashi,https://shop.cocorozashi.jp,429,False,False,,custom platform suspected
57,COEVO,https://www.coevo.com,500,False,False,,custom platform suspected
81,Cole Buxton,https://www.colebuxton.com,429,False,False,,custom platform suspected
140,cornelian taurus,https://www.corneliantaurus.com,429,False,False,,custom platform suspected
124,COVERCHORD,https://www.coverchord.com,429,False,False,,custom platform suspected
113,côte&ciel,https://apac.coteetciel.com,429,False,False,,custom platform suspected
134,D-R-G-N,https://family.d-r-g-n.com,429,False,False,,custom platform suspected
15,DIGAWEL,https://store.digawel.com,429,False,False,,custom platform suspected
